FullFunction,DuckDBProducer,IbisProducer,IsthmusProducer
approximation.approx_count_distinct,True,False,False
arithmetic_decimal.add,True,False,False
arithmetic_decimal.subtract,True,False,False
arithmetic_decimal.multiply,True,False,False
arithmetic_decimal.divide,True,False,False
arithmetic_decimal.modulus,True,False,False
arithmetic_decimal.sum,True,False,False
arithmetic_decimal.avg,True,False,False
arithmetic_decimal.min,True,False,False
arithmetic_decimal.max,True,False,False
arithmetic.add,True,True,False
arithmetic.subtract,True,True,False
arithmetic.multiply,True,True,False
arithmetic.divide,True,True,False
arithmetic.modulus,True,True,False
arithmetic.factorial,True,False,False
arithmetic.power,True,True,False
arithmetic.sqrt,True,True,False
arithmetic.exp,True,True,False
arithmetic.negate,False,True,False
arithmetic.cos,True,True,False
arithmetic.acos,True,True,False
arithmetic.sin,True,True,False
arithmetic.asin,True,True,False
arithmetic.tan,True,True,False
arithmetic.atan,True,True,False
arithmetic.atan2,True,False,False
arithmetic.abs,True,True,False
arithmetic.sign,True,True,False
arithmetic.sum,True,True,False
arithmetic.count,True,False,False
arithmetic.avg,True,True,False
arithmetic.min,True,True,False
arithmetic.max,True,True,False
arithmetic.median,True,False,False
arithmetic.mode,True,False,False
arithmetic.product,True,False,False
arithmetic.std_dev,True,False,False
arithmetic.variance,True,False,False
boolean.or,True,True,True
boolean.and,True,True,True
boolean.not,True,False,True
boolean.xor,True,False,False
boolean.bool_and,True,False,False
boolean.bool_or,True,False,False
comparison.not_equal,True,True,False
comparison.equal,True,True,True
comparison.is_not_distinct_from,False,False,False
comparison.lt,True,True,True
comparison.lte,True,True,True
comparison.gt,True,True,True
comparison.gte,True,True,True
comparison.is_not_null,True,False,False
comparison.is_null,False,False,False
comparison.is_nan,True,False,False
comparison.is_finite,True,False,False
comparison.is_infinite,True,False,False
comparison.coalesce,False,False,False
datetime.extract,True,False,False
datetime.add,False,False,False
datetime.add_intervals,False,False,False
datetime.subtract,False,False,False
datetime.lt,True,False,True
datetime.lte,True,False,True
datetime.gt,True,False,True
datetime.gte,True,False,True
logarithmic.ln,True,True,False
logarithmic.log10,True,True,False
logarithmic.log2,True,True,False
logarithmic.logb,False,True,False
rounding.ceil,True,True,False
rounding.floor,True,True,False
string.concat,True,True,False
string.concat_ws,True,False,False
string.like,True,False,False
string.starts_with,True,True,False
string.ends_with,True,True,False
string.substring,True,True,False
string.contains,True,True,False
string.strpos,True,True,False
string.replace,True,True,False
string.repeat,True,True,False
string.reverse,True,True,False
string.lower,True,True,False
string.upper,True,True,False
string.char_length,True,True,False
string.bit_length,True,False,False
string.ltrim,True,False,False
string.rtrim,True,False,False
string.trim,True,False,False
string.lpad,True,True,False
string.rpad,True,True,False
string.left,True,True,False
string.right,True,True,False
string.string_agg,True,False,False
